id,name
1,Pilot
2,Lawnmower Dog
3,Anatomy Park
4,M. Night Shaym-Aliens!
5,Meeseeks and Destroy
6,Rick Potion #9
7,Raising Gazorpazorp
8,Rixty Minutes
9,Something Ricked This Way Comes
10,Close Rick-counters of the Rick Kind
11,Ricksy Business
12,A Rickle in Time
13,Mortynight Run
14,Auto Erotic Assimilation
15,Total Rickall
16,Get Schwifty
17,The Ricks Must Be Crazy
18,Big Trouble in Little Sanchez
19,Interdimensional Cable 2: Tempting Fate
20,Look Who's Purging Now
